manly had:0.5
who saw:0.00129534
last however:0.0104167
передмова </s>:0.5
садівників </s>:0.166667
declaration by:0.333333
keeps his:0.2
several instances:0.0163934
sword belt:0.2
or apprenticeship:0.00161812
into shares:0.00189394
and hands:0.000120048
sun shone:0.0714286
our sharing:0.00289855
prefer at:0.142857
її трохи:0.0104167
faithful scotch:0.142857
every waistcoat:0.0052356
he seldom:0.000831255
most careful:0.00826446
n and:0.0833333
<s> either:0.00029601
for many:0.00447261
<s> temporary:3.9468e-05
got himself:0.00714286
are said:0.00351288
wasted and:0.222222
very hour:0.00344828
when confronted:0.00153139
struck mamie:0.0294118
_god's fool:1
walked the:0.0227273
the dissecting:0.000123908
hundred a:0.0285714
would leave:0.0016835
go over:0.0142857
черкнув по:1
destined however:0.0909091
alice thought:0.0249377
more comfortably:0.0019802
<s> correspond:1.9734e-05
annoyance </s>:1
small points:0.00854701
<s> good:0.000868295
badly worn:0.125
came three:0.00390625
individual man:0.0188679
happened that:0.0769231
unmistakable signs:1
building was:0.0526316
investigation from:0.0333333
most concentrated:0.00413223
<s> royal:5.9202e-05
faith in:0.428571
colonel so:0.0119048
shepherd and:0.230769
room examined:0.00454545
absent </s>:0.125
boards near:0.333333
not show:0.000711744
take by:0.005
next lady:0.0108696
fence but:0.25
are on:0.00351288
вони заходилися:0.0192308
б закохалися:0.0175439
afterwards he:0.0714286
by mice:0.000584795
one ellianor:0.00111235
head which:0.00598802
been nervous:0.00134771
gone a:0.0206186
received written:0.0379747
evening by:0.0136986
have changed:0.00202977
pinner in:0.153846
the london:0.000805402
faults of:0.5
murdered man:0.2
seldom used:0.05
saw us:0.008
became too:0.0140845
до моменту:0.00512821
majesty must:0.0434783
not amount:0.000711744
inmost thought:0.333333
done so:0.0406504
sufficiently high:0.0769231
rather for:0.0075188
seed to:0.25
any souldier:0.00172712
separate articles:0.0625
robbery </s>:0.25
xviii p:0.2
anyhow it:0.2
back from:0.010101
ah watson:0.0181818
avenue leading:0.0833333
his house:0.00443459
which permitted:0.00066313
long when:0.00561798
shall for:0.00257069
reaume </s>:1
was pinned:0.000311333
startled me:0.142857
we serve:0.00119904
disappointed them:0.2
having changed:0.00769231
most sluggish:0.00413223
here if:0.0156863
weather beaten:0.142857
got there:0.0142857
<s> moulding:1.9734e-05
у всіх:0.00598802
picking when:0.125
of servants:0.000533789
delay at:0.1
black negress:0.0166667
ну і:0.04
smart and:0.166667
<s> stung:1.9734e-05
cask </s>:1
the disreputable:6.1954e-05
client mr:0.0526316
than foreign:0.00254453
resting upon:0.142857
left aboard:0.00606061
trees on:0.0625
don’t blame:0.0142857
improbable still:0.333333
trained me:0.333333
він їм:0.00884956
stepped past:0.0714286
lombard street:1
her crest:0.000520291
to enjoy:0.000273486
we kept:0.00119904
in turn:0.00077101
agent in:0.0666667
monday at:0.0344828
чую ходім:0.5
and spread:0.000360144
being there:0.0106762
even trebled:0.00609756
sharp eager:0.030303
noted oculist:0.0769231
possible use:0.0169492
me wonderfully:0.00119617
however before:0.0163043
to analyze:0.000136743
its blind:0.00398406
been sent:0.00539084
i remarked:0.000560695
by less:0.000584795
<s> monday:9.86699e-05
suggestion </s>:0.357143
were visible:0.00181818
<s> malicious:1.9734e-05
young persons:0.00724638
and villages:0.000120048
ген </s>:0.666667
thirsting for:1
students she:0.111111
ended as:0.1
or shall:0.00242718
ще ходитимуть:0.0125
hutchinson colonel:0.1
neighbour without:0.142857
class carriage:0.0375
well lit:0.00266667
be most:0.00266845
lovelorn </s>:1
<s> intention:3.9468e-05
he clambered:0.000415628
sulkily </s>:0.333333
було втрапити:0.0131579
slept without:0.125
this absence:0.000762777
apprentices to:0.0819672
furnish me:0.166667
terrible was:0.111111
much older:0.00321543
to lend:0.000273486
and pushing:0.000120048
involuntarily recoiled:0.333333
danger in:0.1
offer a:0.0526316
of each:0.000427031
keen as:0.0714286
he drew:0.00207814
choked in:0.142857
work_ _passim_:0.2
stolen from:0.166667
relations and:0.105263
until his:0.0183486
out rapturously:0.0015949
trevelyan will:0.0625
<s> chargeable:3.9468e-05
been mixed:0.00134771
give credit:0.00684932
recover from:0.111111
satisfied now:0.0666667
fully martes:0.0909091
request that:0.0625
gardiner’s husband:1
my lips:0.00170503
balance of:0.142857
reached its:0.0487805
mamie resumed:0.0142857
english who:0.00877193
inexplicable horror:0.111111
drink then:0.0363636
the fortitude:6.1954e-05
<s> portions:1.9734e-05
her say:0.00104058
livid fungi:0.111111
in length:0.000578258
road in:0.0434783
крикнув казна:0.2
are always:0.00117096
why don't:0.0266667
the light:0.000867356
his prison:0.000443459
courtesy as:0.333333
cut cavendish:0.0277778
cushing at:0.037037
pinner financial:0.0769231
impart a:0.25
vols </s>:1
cup silver:0.0714286
will eventually:0.0021978
<s> proclaimed:1.9734e-05
sociable fellow:1
nothing clears:0.00588235
oliver cromwell:0.166667
our engagement:0.00289855
heave </s>:1
a mr:0.000340541
<s> fishwoman:1.9734e-05
brewers who:0.08
mess </s>:0.5
eyes sparkled:0.0136054
write these:0.0645161
soundest of:1
yet sweet:0.00537634
have strictly:0.00067659
your college:0.00185874
before holmes:0.00299401
down he:0.0058651
comers in:1
more natural:0.0019802
for london:0.000745434
cheery bedroom:0.333333
saved us:0.0666667
certainly very:0.0263158
the ends:6.1954e-05
thoo places:1
silver bands:0.0222222
everything which:0.0285714
arrest goes:0.125
melas said:0.157895
when hunter:0.00153139
вів далі:0.5
be invisible:0.000667111
shaken me:0.153846
facts were:0.0285714
of yourself:0.000427031
observed of:0.0344828
wednesday or:0.0909091
smallish dark:1
7d rolled:0.2
don’t consider:0.0142857
reply it:0.0666667
stake in:0.142857
and taking:0.000480192
every mood:0.0052356
price for:0.0294118
leathers which:1
треба його:0.0454545
neighbouring moors:0.2
<s> викликати:1.9734e-05
cottage which:0.0227273
on tuesday:0.00155642
characterizing the:0.5
it's really:0.0163934
by howell:0.000584795
expects to:1
that note:0.000597193
undoubtedly detect:0.0666667
повторив грифон:0.166667
of work:0.0020284
adventure of:0.466667
are ayrshires:0.00117096
obey an:0.2
may choose:0.00712589
heath newton’s:0.333333
tranquillity of:1
one explanation:0.00111235
the footpath:6.1954e-05
fingers were:0.166667
ваша наука:0.0555556
your brandy:0.00185874
remove </s>:0.1
кабіни на:1
upon myself:0.00643087
old foot:0.0049505
enthusiasm she:0.142857
finely formed:1
implore you:1
the significance:6.1954e-05
very bent:0.00172414
aforesaid provided:0.0625
its position:0.00398406
knife gashed:0.030303
passed you:0.0142857
<s> followed:0.000157872
a breaking:0.000170271
question said:0.0128205
public into:0.0181818
meeting of:0.153846
quarter mile:0.0120482
depended partly:0.0357143
struck justice:0.0294118
manner has:0.02
don’t use:0.0142857
of sandwiches:0.000106758
only woman:0.00241546
weather the:0.142857
fresh evidence:0.0344828
her veine:0.000520291
friend algar:0.0108696
все перепробувала:0.0188679
we state:0.00119904
never done:0.00373134
crash of:0.2
<s> retailing:1.9734e-05
two persons:0.00266667
switching it:1
each curious:0.00806452
frankly he:1
before we:0.0419162
murderers by:1
повний таріль:1
papers here:0.025
_hurry yup_:1
might think:0.00429185
should see:0.00598802
long cut:0.00561798
without maybe:0.0042735
markett without:0.0588235
no trace:0.00915033
голосом звернувся:0.125
together to:0.0434783
put this:0.0168067
baillie of:0.1
work_ </s>:0.4
clad only:0.166667
jake's blue:0.0208333
light watery:0.0142857
sleeve and:0.214286
<s> wasted:5.9202e-05
до франції:0.00512821
curiously penetrating:0.25
ані трохи:0.25
into abeyance:0.00189394
that short:0.000597193
from asking:0.000931099
reasoning the:0.125
<s> _cheetham:1.9734e-05
a billet:0.000681083
warned of:0.333333
historical and:0.105263
separate staff:0.0625
intelligent man:0.166667
caught </s>:0.137931
ditch i:0.5
<s> small:0.000138138
so madam:0.00130719
flashed fire:0.166667
on behalf:0.00466926
not struck:0.000711744
я я:0.00787402
first moneth:0.00363636
<s> steward:1.9734e-05
pursuers </s>:1
husband or:0.0228571
sank into:0.272727
<s> abilities:1.9734e-05
drew his:0.0238095
it necessary:0.00066335
станеш за:1
clues than:0.333333
waste of:0.142857
and poured:0.000120048
beginning very:0.025641
weight </s>:0.25
won’t think:0.0625
uncovered heads:1
цього не:0.285714
she told:0.00116077
_flanders workers:1
you enter:0.000418585
method and:0.0714286
<s> ingrossing:1.9734e-05
per yard:0.0120482
see from:0.00854701
he in:0.00124688
that’s all:0.176471
brother this:0.0147059
cup the:0.0714286
still his:0.00561798
faithless lover’s:1
held me:0.04
by patrimony_:0.000584795
persons that:0.0326087
stood pointing:0.0140845
guilty heart:0.125
men do:0.0114943
<s> establishment:3.9468e-05
ноги і:0.0909091
lord holdhurst:0.15942
a cell:0.000170271
mind that:0.0733945
and east:0.000120048
instrument </s>:0.25
don mean:0.0526316
<s> hitherto:5.9202e-05
so sparsely:0.00130719
well againe:0.00266667
friday pudding:0.125
<s> miles:5.9202e-05
sink behind:0.2
коридор і:0.5
usually have:0.0625
colonel warmly:0.0119048
судову залу:1
hard this:0.0169492
to endeavour:0.000136743
would prevent:0.0016835
care not:0.027027
mile from:0.133333
manner that:0.06
dress sir:0.0714286
ult pred:1
sherlock i:0.0163934
to catch:0.00123069
never sign:0.00373134
beyond </s>:0.166667
outline of:1
sticky spear:1
ghetto he:0.0769231
locked but:0.1
nervous giggle:0.0344828
thorough knowledge:0.333333
from here:0.0018622
dartmoor </s>:0.222222
can't explain:0.0666667
petitions to:0.0714286
weapon as:0.0833333
case we:0.0103093
take more:0.015
formerly of:0.0833333
body’s business_:0.333333
big one:0.0714286
smell of:0.5
that should:0.000298597
only offer:0.00241546
out everything:0.0015949
commonplace remark:0.166667
excited immediately:0.0833333
every stable:0.0052356
in currants:0.000192753
the job:0.000123908
not agree:0.00640569
great ability:0.00460829
exasperated and:1
with alice's:0.000488043
which two:0.00066313
<s> darkness:1.9734e-05
abide loyally:0.1
to hour:0.000136743
of hitching:0.000106758
trades or:0.00813008
surprise he:0.0285714
coals to:0.142857
gott their:1
dear to:0.011236
he needed:0.000831255
any conclusion:0.00172712
open nature:0.0119048
the steady:6.1954e-05
every trace:0.0052356
though in:0.0315789
письмове свідчення:1
small packet:0.00854701
or most:0.000809061
overtaken by:0.2
sarah he:0.0196078
and difference:0.000120048
out if:0.00637959
маля прекрасно:0.333333
guilty conscience:0.125
face framed:0.00518135
of opinion:0.000320273
they refuse:0.00118064
well sarah:0.00266667
котре слово:1
me some:0.00119617
crash now:0.2
soon his:0.0133333
to dartmoor:0.000410228
he pictured:0.000415628
first that:0.00727273
had obtained:0.00233918
shook </s>:0.1
powers or:0.0625
до неї:0.0307692
cottage had:0.0454545
other intimately:0.00181488
can fight:0.0027248
the essential:0.000185862
висолопивши язика:1
second be:0.0140845
closed door:0.0344828
street park:0.00854701
inspector gregson:0.0140845
i’d like:0.166667
son be:0.0123457
dear lad:0.011236
some ways:0.0018622
of observation:0.000320273
ні слуху:0.0192308
ever engaged:0.0137931
her husband_:0.000520291
understanding between:0.105263
he opened:0.00207814
trampled mud:0.333333
yesterday has:0.0416667
chemicals and:1
the south:0.000247816
of anger:0.000106758
face though:0.0103627
a bond:0.000340541
for years:0.00372717
thorne </s>:1
far behind:0.00877193
one lamp:0.00111235
and success:0.000240096
through these:0.00625
rushed down:0.0322581
dated </s>:0.428571
<s> exceedingly:0.000118404
century driven:0.00763359
pass cabby:0.0384615
times spinners:0.0169492
pacing his:0.5
wednesday it:0.0909091
read death:0.0224719
here’s </s>:0.333333
пішла зітхнула:0.25
ну можливо:0.04
i mus:0.000280348
in pencil:0.000385505
of stone:0.000213516
wife naturally:0.00250627
their horse:0.000981354
missing so:0.0833333
cat seemed:0.0238095
sworn to:0.2
prostration in:0.5
it yet:0.00066335
reading </s>:0.148936
reeked </s>:1
plausibly getting:1
service in:0.0666667
careless in:0.333333
and charges:0.000240096
comfortably off:0.375
якомога менше:0.4
one problem:0.00111235
трохи бентежило:0.037037
when our:0.00153139
science hereafter:0.0333333
троє кинулися:0.2
forcible language:1
thrilling </s>:0.25
waitin </s>:1
a case:0.00255406
a cataract:0.000170271
не будуть:0.0017452
<s> fond:1.9734e-05
sent me:0.0350877
physick from:0.0869565
a rough:0.000510812
the art:0.00167276
обсиплюся цукром:1
personality of:0.5
have raised:0.00067659
old patriarchs:0.0049505
friendships were:1
he has:0.0282627
agreed inspector:0.0263158
in league:0.000192753
як мені:0.016129
days but:0.0416667
charley chimed:0.2
the dream:6.1954e-05
when however:0.00153139
religious struggles:0.0294118
are more:0.00351288
драпає геть:1
<s> звідки:3.9468e-05
ll.b d.sc:0.0769231
his lead:0.000443459
all our:0.00408163
they puddinges:0.00118064
without one:0.0042735
trust and:0.0689655
a side:0.00170271
oh the:0.020202
great danger:0.00921659
were destroyed:0.000909091
ordinary diet:0.047619
fading light:0.333333
mutton and:0.142857
the comparative:6.1954e-05
another person:0.0070922
plates so:0.2
voices all:0.111111
diligently </s>:0.333333
ear a:0.0454545
spoke but:0.0188679
folded gazing:0.142857
may they:0.00475059
very supple:0.00172414
to obtain:0.0009572
голову а:0.0322581
recusants </s>:0.333333
position was:0.0406977
yarne but:0.111111
present and:0.0322581
colonel ross:0.178571
it faded:0.000331675
<s> безперечно:1.9734e-05
a sheet:0.000681083
to hudson:0.000273486
і пищати:0.00194553
destination and:1
mistake said:0.0625
of hiccoughing:0.000106758
the 4th:0.000123908
i dare:0.00140174
cannot fail:0.0116279
now mr:0.0122249
derbyshire had:0.125
them she:0.00323102
returned to:0.153846
israel of:0.25
вже заговорив:0.0142857
can at:0.00544959
faded ferns:0.166667
embellishments of:1
it upon:0.00066335
sleepers </s>:0.5
a walkin:0.000170271
hung </s>:0.222222
tanner </s>:1
is amazing:0.000512558
го </s>:0.5
із днем:0.0243902
leaning forward:0.0769231
question arose:0.0128205
in victoria:0.000192753
wonder of:0.0322581
owner </s>:0.153846
<s> factors:1.9734e-05
observance </s>:0.25
судові засідання:0.5
edn by:1
and believing:0.000120048
seen him:0.0571429
stess_ </s>:1
making or:0.0105263
yat hath:0.333333
your case:0.00557621
wet on:0.0714286
a statesman:0.000340541
farms were:0.142857
<s> intruder:3.9468e-05
police imagine:0.0166667
eventually </s>:0.166667
in winning:0.000192753
hear from:0.0327869
which looked:0.00132626
bishops interest:0.2
a horrible:0.000340541
keep that:0.0121951
fasten the:0.5
poor linen:0.00378788
his cheek:0.000443459
<s> lived:5.9202e-05
should take:0.00598802
year is:0.0128205
he raised:0.000831255
moor took:0.0555556
above my:0.0135135
also been:0.00588235
critically </s>:1
round ruddy:0.00793651
eyebrows and:0.333333
ferns which:0.25
by presuming:0.000584795
різдво даруватиму:1
to search:0.000273486
blaze with:0.0714286
recommendation with:0.333333
these are:0.0365449
two cunninghams:0.00533333
was well:0.00498132
brought in:0.0495868
_appropriateness to:1
favour of:0.0714286
year villa:0.0128205
women under:0.00295858
discovering traces:0.2
with dr:0.000488043
for expensive:0.000372717
of junk:0.000106758
succeed where:0.25
аліса її:0.00263852
weights nevertheless:0.2
gregory a:0.0588235
ross his:0.0666667
england could:0.0117647
жодної уваги:0.25
general shape:0.015873
dicksone </s>:1
which with:0.00132626
baby joined:0.0454545
see sarah:0.002849
better come:0.00952381
you continue:0.000418585
sparest and:1
the strong:0.000371724
_maggie a:1
william hill:0.0166667
attempt at:0.0666667
поступово коротшали:0.5
diplomatic under:0.333333
night for:0.00649351
an unfortunate:0.00116279
not surprised:0.00142349
howled so:1
the hungry:6.1954e-05
the inquest:0.000123908
have torn:0.00067659
to hand:0.000273486
chance </s>:0.0645161
their work_:0.000981354
very same:0.00172414
freely to:0.0625
myself in:0.0606061
that dr:0.00089579
acc </s>:1
abductor was:1
went month:0.00549451
peculiarity took:1
william tackled:0.0166667
м </s>:0.333333
nothing was:0.0176471
storm of:0.25
shelley </s>:1
presence sir:0.0357143
large reward:0.00909091
flung </s>:0.142857
their slave:0.000981354
he picked:0.000831255
can imagine:0.0408719
in perplexity:0.000192753
russian woman:0.05
fortune and:0.0833333
dress were:0.0714286
der madder:1
quietly working:0.0526316
the carlton:6.1954e-05
remain the:0.0294118
extensively engaged:0.285714
afraid my:0.027027
general practitioner:0.015873
surgery </s>:0.2
round her:0.031746
deductive problems:1
little distance:0.00481928
what puts:0.00152672
water from:0.0344828
he calmly:0.000415628
nailed by:1
curled in:0.166667
slab crashing:0.333333
so strongly:0.00130719
the dressing:0.00030977
two odd:0.00266667
цукерки </s>:1
to ourselves:0.000136743
широко популярні:1
corner which:0.025641
had they:0.00175439
efficiency among:0.047619
away during:0.00531915
were thrown:0.000909091
added that:0.0344828
so than:0.00130719
worcestershire county:0.5
gave off:0.0102041
sloping plain:1
ordered and:0.0666667
до неба:0.00512821
_women_ _seq:0.2
called them:0.0123457
without causes:0.0042735
clubs to:0.2
lurked at:1
<s> луплю:1.9734e-05
very dear:0.00172414
hopelessly ruined:0.333333
now capable:0.00244499
trade </s>:0.190647
там у:0.0294118
my wife’s:0.00511509
the desks:6.1954e-05
were returning:0.000909091
the gutter:6.1954e-05
in watson:0.000192753
for ladies:0.000372717
sensational from:0.5
принаймні він:0.2
brewars shall:0.25
was unredeemed:0.000311333
i regret:0.000280348
legal formalities:0.111111
reposed in:1
a fatal:0.000170271
insight than:0.2
трохи потерпіти:0.037037
becomes visible:0.0769231
to establish:0.000683714
stranger came:0.0416667
induced any:1
timing yourself:1
the mayor:0.000123908
word during:0.0125
employment wᶜʰ:0.025
delivered from:0.0555556
therefore sent:0.0108696
and inevitable:0.000120048
не вгавав:0.0034904
cushing loved:0.037037
honeste </s>:1
originally admitted:0.1
any sign:0.00172712
сумний та:0.5
king son:0.198276
stare and:0.333333
into yarne:0.00189394
calculation is:0.333333
the murder:0.000123908
were quickly:0.000909091
that though:0.00179158
manufacture who:0.030303
it come:0.000331675
with wool:0.000488043
quaint old:0.333333
вирішила мерщій:0.0909091
too eager:0.00671141
provides that:0.454545
his heavy:0.000443459
eat nothing:0.0333333
якийсь сенс:0.25
<s> physique:1.9734e-05
officer </s>:0.333333
by day:0.00233918
stood upon:0.056338
angry at:0.0833333
bed had:0.0208333
боюся пані:0.25
coat </s>:0.266667
friend his:0.0108696
writing of:0.0769231
good steiler:0.00355872
which chance:0.00066313
carried from:0.0188679
longer necessary:0.0294118
rose with:0.0294118
basking in:1
цікавість а:0.5
the bishops:0.000123908
pistols for:0.2
giving his:0.04
sentenced to:0.666667
and prosperous:0.000120048
so limp:0.00130719
gleamed with:0.333333
finished our:0.0645161
then called:0.00723327
an oyle:0.00116279
send a:0.0277778
до книжки:0.00512821
all domestic:0.00102041
hides and:0.5
ти </s>:0.0206186
not pleasing:0.000711744
stepped out:0.214286
_wo </s>:1
moor and:0.0555556
payment of:0.4375
boy locked:0.0147059
for hudson:0.000372717
wouldn’t hold:0.333333
seldom going:0.025
this ship:0.00152555
but what:0.0130246
cottagers numbered:0.5
to cross:0.000273486
capitalism that:0.02
old devonshire:0.0049505
<s> vituperative:1.9734e-05
say there:0.00877193
trades_ also:0.142857
belied the:0.5
famous for:0.0714286
fall for:0.0357143
suspicion </s>:0.176471
he’ll haul:0.125
earners to:0.0238095
pointed pen:0.0714286
upon two:0.00160772
звичні земні:1
distorted were:0.25
companion now:0.027027
<s> deny:3.9468e-05
починав бавити:0.5
slippers are:0.25
of studies:0.000106758
until wednesday:0.00917431
ask the:0.0344828
голові й:0.25
act for:0.0666667
sessions record:0.0212766
never certainly:0.00373134
strikingly handsome:0.333333
is remembered:0.00102512
two litre:0.00266667
hawes shall:0.5
by such:0.00350877
whoever it:0.1
й жару:0.0035461
they'll do:0.5
in finding:0.00077101
they know:0.00236128
очі й:0.25
crowded </s>:0.25
inhabited one:0.166667
cleared again:0.1
those villas:0.00505051
way what:0.00352113
rabbit jumping:0.0212766
довжелезні занудні:1
pinner when:0.0769231
see you're:0.002849
false impression:0.1
trades united:0.00813008
been walking:0.00134771
same strain:0.00389105
a lusty:0.000170271
hotel in:0.166667
which i:0.0636605
convicted of:1
brewing in:0.027027
ecstasy of:0.333333
миттю заснув:0.25
apologises for:1
boy as:0.0147059
english fairly:0.00877193
brought before:0.0330579
with well:0.000488043
were expected:0.00181818
it appears:0.00364842
pheasant months:0.5
it's </s>:0.0327869
of working:0.000320273
say his:0.00438596
бо ходили:0.0196078
frowning at:0.166667
schoolmaster out:1
birth and:0.25
your watch:0.00185874
tingle with:0.5
detectives </s>:0.333333
place is:0.0212766
using scientific:0.0344828
studying his:0.25
those injudicious:0.00505051
by doing:0.000584795
doing a:0.075
quiet and:0.2
soldier i:0.0714286
start as:0.027027
that cry:0.000298597
street once:0.00854701
coxon gave:0.333333
very instant:0.00172414
to attract:0.000273486
<s> who’s:3.9468e-05
<s> perfectly:5.9202e-05
walking briskly:0.0454545
в хаті:0.00452489
and beg:0.000120048
importance at:0.016129
some tragedy:0.0018622
hudson we:0.08
it hath:0.000995025
was there:0.00249066
easter last:0.333333
now sherlock:0.00244499
empty before:0.0588235
to four:0.000410228
been tarred:0.00134771
clement danes:0.333333
recount are:1
professor michael:0.103448
for an:0.0111815
every minute:0.0104712
beside her:0.125
and elderly:0.000120048
of weavers:0.000320273
from and:0.000931099
grounds and:0.1
forever without:0.0588235
his language:0.000443459
of essex:0.000533789
glancing round:0.0714286
responded more:0.25
flies from:1
vague indications:0.0909091
promise jack:0.0526316
далі сперечалася:0.0227273
expected from:0.0277778
take from:0.005
and jumping:0.000120048
the knot:0.000123908
meate and:0.538462
coat thrown:0.0666667
have examined:0.00067659
the string:0.000185862
the shipping:0.000123908
us if:0.00680272
the patients:6.1954e-05
book shows:0.00793651
careful not:0.0833333
trains of:1
especially your:0.04
memoirs with:0.05
formed his:0.0285714
holmes </s>:0.246575
his arm:0.00266075
i’d get:0.166667
other way:0.0127042
викопує роззлостився:1
crockery </s>:0.5
lestrade has:0.0434783
not married:0.000711744
of hudson:0.000106758
weighing sope:0.4
<s> aluminium:1.9734e-05
evening said:0.0273973
mothers who:0.105263
answered the:0.138462
bother me:0.5
those upon:0.00505051
friendless as:0.5
aaronovitz heaved:0.2
in birmingham:0.000385505
of forfeited:0.000106758
children if:0.00411523
his exploits:0.000443459
which lay:0.00132626
fainting swoon:0.25
found beside:0.005
been discovered:0.00404313
sharp instrument:0.030303
downham and:1
sheer fright:0.166667
sheets from:0.111111
past all:0.015873
promish anytink:1
oh said:0.010101
bethought himself:1
half comical:0.0078125
sunset </s>:1
spinnes not:1
bell of:0.03125
criminal send:0.0526316
passage took:0.0322581
так прикипіла:0.00787402
broad well:0.0588235
of inquiries:0.000106758
jim browner:0.428571
corporacions of:1
concerning women:0.025
yere to:0.142857
specially significant:0.0769231
portrait within:0.166667
the brink:6.1954e-05
twenty one:0.0677966
brave resolution:0.25
what his:0.00152672
off you:0.00478469
i observed:0.00140174
the sheet:0.000123908
with worke:0.000488043
relations to:0.0526316
<s> bureau:1.9734e-05
чай </s>:0.222222
silence as:0.0357143
boxing i:0.25
оце цікаво:0.25
been married:0.00134771
на товариство:0.00294118
when first:0.00153139
a chill:0.000340541
desborough the:0.25
drew your:0.0238095
the conduct:0.000185862
perceived a:0.166667
this expedient:0.000762777
and sworn:0.000120048
ladye’s midwyfe:1
savile’s trunk:1
watch with:0.0588235
as money:0.000455581
to followe:0.000136743
time by:0.00240385
subsistence </s>:0.363636
man evidently:0.00236407
ill fated:0.037037
its character:0.00398406
shield in:0.166667
really an:0.0133333
boyled beefe:0.5
exertion as:0.5
little methods:0.00240964
name he:0.0215054
acquired domestically:0.05
not attempt:0.000711744
his son:0.0075388
such in:0.0026738
former's apartments:1
the female:0.000433678
myself my:0.010101
them any:0.00323102
altercation </s>:0.333333
<s> described:9.86699e-05
go off:0.0047619
consider him:0.0588235
approached and:0.0833333
made about:0.0031348
elastic bands:1
wounded soldiers:0.2
and inquiry:0.000120048
i enclose:0.000280348
up it:0.00375235
air of:0.245614
what looked:0.00152672
midwife was:0.0222222
ritual that:0.0625
midwifes to:1
of relationship:0.000106758
to mary:0.000136743
sarah hated:0.0196078
<s> 126b:1.9734e-05
tied his:0.125
they took:0.00590319
the warm:6.1954e-05
was longing:0.000311333
causes has:0.142857
wearing </s>:0.285714
and anxiety:0.000240096
gentleman dancing:0.030303
yes she:0.010989
head's free:1
down for:0.00879765
vacation drawing:0.333333
opportunity </s>:0.111111
subsistence abroad:0.0909091
pyland horses:0.0909091
mathematical celebrity:0.2
instantly aroused:0.0454545
stick which:0.0555556
too small:0.0201342
retailer </s>:1
confronted with:0.666667
t’s of:0.5
null and:1
was actually:0.000311333
his accomplice:0.000443459
get from:0.00558659
her sharp:0.000520291
received attention:0.0126582
sender </s>:0.5
not told:0.000711744
beetle that:0.333333
christie g:1
regiment as:0.2
good looks:0.00355872
is eight:0.000512558
be jake:0.00133422
<s> punished:1.9734e-05
some subjects:0.0018622
was utterly:0.000622665
possibility had:0.0909091
autumn wind:0.2
can’t bear:0.142857
learn not:0.0277778
habits my:0.0588235
with but:0.000488043
for myself:0.0022363
was kept:0.000933998
watery sepulchre:0.5
wife’s trade:0.0555556
sleepers when:0.5
holmes to:0.00547945
although </s>:0.0454545
approached it:0.0833333
old family:0.0049505
black tobacco:0.0166667
molested </s>:1
wet clothing:0.0714286
me talk:0.00119617
passage and:0.16129
<s> suggests:1.9734e-05
mocked her:0.666667
returning to:0.2
positively charge:0.25
a penang:0.000170271
lawyer weighted:0.333333
black </s>:0.116667
глянула вниз:0.25
might by:0.00858369
engagement for:0.5
fewer facilities:0.111111
rising </s>:0.210526
parker spoke:0.0833333
body </s>:0.0857143
falls which:0.166667
trades after:0.0162602
training given:0.0172414
this important:0.000762777
by characterizing:0.00116959
hudson it:0.04
the regiment:0.000371724
лицаря </s>:0.5
came about:0.0117188
of rules:0.000106758
hand there:0.0157068
трохи ширше:0.037037
a lawsuit:0.000340541
take what:0.005
but simply:0.000723589
british industry:0.0714286
drugged the:0.5
string is:0.125
з'явиться ще:0.5
his mother’s:0.000443459
groom found:0.333333
the propriety:0.000123908
vessels for:0.333333
pricked up:0.5
and constables:0.000120048
what must:0.00305344
broken hearted:0.025641
netherland sumatra:1
during that:0.0353982
snapped </s>:0.25
the robber:0.000123908
some size:0.0018622
show that:0.254237
carrying </s>:0.105263
notable housholdes:0.5
together outside:0.0108696
possession though:0.0434783
their mothers:0.00392542
date march:0.0434783
<s> poetry:1.9734e-05
he cried:0.0120532
his youth:0.000443459
not rough:0.000711744
через дверцята:0.0769231
emaciation with:1
grants in:0.166667
meaning was:0.0333333
star chamber:0.571429
we’ll </s>:0.25
were their:0.000909091
with seven:0.000976086
mark upon:0.142857
not associated:0.00142349
for bromes:0.000372717
william temple:0.0166667
two human:0.00266667
statement as:0.0952381
dark well:0.0204082
resisted </s>:1
hopes that:0.125
stone </s>:0.2
place where:0.070922
curtain was:0.111111
aroused and:0.0833333
the keen:6.1954e-05
him there:0.00382653
food are:0.025641
a paisley:0.000170271
of worke:0.000213516
half drawn:0.0078125
scantily bearded:1
up devoured:0.00187617
quite unconnected:0.00595238
i doubt:0.000560695
стиха мовив:1
silk trade:0.134615
countries there:0.0909091
i consider:0.000560695
would wish:0.0016835
і зазирав:0.00194553
suppress the:0.5
risk a:0.2
myself over:0.010101
a quarter:0.00391623
finally lost:0.0357143
пари білих:0.5
за кроликом:0.0176991
revolting practical:0.5
remuneration was:0.333333
basin of:1
це мене:0.00680272
<s> infinitely:1.9734e-05
маленькі ним:0.25
<s> ship:5.9202e-05
to handle:0.000273486
you ask:0.00251151
just missed:0.00537634
long day’s:0.00561798
burglar and:0.111111
minutes turning:0.0151515
and sobbing:0.000120048
alehouses it:0.25
expression which:0.0625
with sticking:0.000488043
points in:0.107143
another </s>:0.106383
certain seasons:0.0135135
laid before:0.0571429
questioned him:0.125
from reading:0.000931099
red from:0.0243902
